"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$R9ITZQS.txt"	".txt"	"r"	""	"2025-11-29 15:26:29 IST"	"2025-11-29 15:24:31 IST"	"2025-11-29 15:26:24 IST"	"15"	"48"	"291d5eb063762b9dd6a48cd725a4a4c4"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$R9ITZQS.txt"
"$RD0YH7G.bmp"	".bmp"	"r"	""	"2025-11-29 15:18:25 IST"	"2025-11-29 15:18:25 IST"	"2025-11-29 15:18:25 IST"	"0"	"45"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RD0YH7G.bmp"
"$RDYD608.bmp"	".bmp"	"r"	""	"2025-11-29 15:16:27 IST"	"2025-11-29 15:16:27 IST"	"2025-11-29 15:16:27 IST"	"0"	"42"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RDYD608.bmp"
"config"	""	"r"	""	"2025-12-01 15:54:19 IST"	"2025-12-01 15:54:07 IST"	"2025-12-01 15:54:07 IST"	"263"	"84"	"8e09f9ab65cab16d5bb080cb3ff21fa3"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/config"
"description"	""	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"73"	"58"	"a0a7c3fff21f2aea3cfa1d0316dd816c"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/description"
"HEAD"	""	"r"	""	"2025-12-01 15:54:19 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"23"	"80"	"4cf2d64e44205fe628ddd534e1151b58"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/HEAD"
"applypatch-msg.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"478"	"60"	"ce562e08d8098926a3862fc6e7905199"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/applypatch-msg.sample"
"commit-msg.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"896"	"61"	"579a3c1e12a1e74a98169175fb913012"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/commit-msg.sample"
"commit-msg.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"3200"	"61"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/commit-msg.sample-slack"
"fsmonitor-watchman.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"4726"	"62"	"a0b2633a2c8e97501610bd3f73da66fc"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/fsmonitor-watchman.sample"
"fsmonitor-watchman.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"3466"	"62"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/fsmonitor-watchman.sample-slack"
"post-update.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"189"	"63"	"2b7ea5cee3c49ff53d41e00785eb974c"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/post-update.sample"
"pre-applypatch.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"424"	"64"	"054f9ffb8bfe04a599751cc757226dda"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-applypatch.sample"
"pre-commit.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"1649"	"65"	"5029bfab85b1c39281aa9697379ea444"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/pre-commit.sample"
